name,address,phone,website,rating,reviews_count,category,google_maps_url
Dr. Inamdar's Dental Studio,"1st Floor, Orchid Metropolis, F12, SG Barve Marg, opposite Shubh Sagar Restaurant, near Railway Station, Nehru Nagar, Kurla, Mumbai, Maharashtra 400024 ",091373 77820 ,https://dentalstudio.co/,4.9,561,Dental clinic,"https://www.google.com/maps/place/Dr.+Inamdar's+Dental+Studio/@18.971044,72.5327927,11z/data=!3m1!5s0x3be7c8bd7788c4a7:0x5a181564ace35d9b!4m10!1m2!2m1!1sDentists+in+Mumbai!3m6!1s0x3be7c893b8db407f:0xc6ed4546d56f58ff!8m2!3d19.0647529!4d72.8806705!15sChJEZW50aXN0cyBpbiBNdW1iYWlaFCISZGVudGlzdHMgaW4gbXVtYmFpkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F1ptx9jn_q?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Bombay Dental Centre,"1st floor, kamdenu Departmental store, Hubtown premiere commercial Next, shop -24-25, near Kokilaben ambani hospital, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053 ",089895 38512 ,https://bombaydentalcentre.com/,5.0,1109,Dental clinic,"https://www.google.com/maps/place/Bombay+Dental+Centre/@18.971044,72.5327927,11z/data=!4m10!1m2!2m1!1sDentists+in+Mumbai!3m6!1s0x3be7b7dc1f9e68c9:0x712e2dd0c6c2aba7!8m2!3d19.1297296!4d72.8246531!15sChJEZW50aXN0cyBpbiBNdW1iYWlaFCISZGVudGlzdHMgaW4gbXVtYmFpkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F11g0g6jdy2?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
ZenSmile Dental Clinic,"Shop no.9, Besides, Jain Temple Pestonji Street, near Nariman House, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005 ",082085 10630 ,,5.0,696,Dental clinic,"https://www.google.com/maps/place/ZenSmile+Dental+Clinic/@18.971044,72.5327927,11z/data=!4m10!1m2!2m1!1sDentists+in+Mumbai!3m6!1s0x3be7d1e0c7bad361:0xa5b8c86dcc906328!8m2!3d18.9167165!4d72.8278522!15sChJEZW50aXN0cyBpbiBNdW1iYWlaFCISZGVudGlzdHMgaW4gbXVtYmFpkgENZGVudGFsX2NsaW5pY5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVOWk4zTjJlRmgzRUFF4AEA-gEECAAQSw!16s%2Fg%2F11lyjnz827?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Dr Krinita Motwani´s Multispeciality Dental Clinic,"Simran Plaza, 403, Junction of 3rd and 4th Road, Khar, Ram Krishna Nagar, Khar West, Mumbai, Maharashtra 400052 ",098202 80343 ,https://drkrinitamotwani.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=website,4.9,410,Dentist,"https://www.google.com/maps/place/Dr+Krinita+Motwani%C2%B4s+Multispeciality+Dental+Clinic/@18.971044,72.5327927,11z/data=!4m10!1m2!2m1!1sDentists+in+Mumbai!3m6!1s0x3be7c90e3749f5e3:0xfa2979b9f49a9db6!8m2!3d19.0717663!4d72.8392991!15sChJEZW50aXN0cyBpbiBNdW1iYWlaFCISZGVudGlzdHMgaW4gbXVtYmFpkgEHZGVudGlzdOABAA!16s%2Fg%2F1tpb9fxb?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Holy Dental Care,"shop no.1 ground floor, 118 Maulana Azad Road, Upper, Duncan Rd, below urdu times office, Dalal Estate, Mumbai, Maharashtra 400008 ",099875 28343 ,http://www.holydentalcare.com/,5.0,897,Dental clinic,"https://www.google.com/maps/place/Holy+Dental+Care/@18.971044,72.5327927,11z/data=!4m10!1m2!2m1!1sDentists+in+Mumbai!3m6!1s0x3be7ce3fe54ceaa1:0x66f57847724d3dc2!8m2!3d18.9647758!4d72.8285374!15sChJEZW50aXN0cyBpbiBNdW1iYWlaFCISZGVudGlzdHMgaW4gbXVtYmFpkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F1pt_3zbrj?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
"My Smile Dental Clinic Andheri West, Mumbai","Shop No.59, 1st Floor, Oshiwara Link Plaza Next to Shreejee Restaurant Near Oshiwara Police Station Bhau Tatoba Toraskar Marg, Mhada Colony, Oshiwara, Andheri West, Mumbai, Maharashtra 400102 ",098199 31333 ,https://www.mysmiledentalclinic.com/,4.9,665,Dental clinic,"https://www.google.com/maps/place/My+Smile+Dental+Clinic+Andheri+West,+Mumbai/@18.971044,72.5327927,11z/data=!4m10!1m2!2m1!1sDentists+in+Mumbai!3m6!1s0x3be7b640f31ec4b1:0x260c17ccac238a03!8m2!3d19.1488106!4d72.8316703!15sChJEZW50aXN0cyBpbiBNdW1iYWlaFCISZGVudGlzdHMgaW4gbXVtYmFpkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F1tmg4_rt?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Dr. Shivani’s Dental Clinic,"Ashtavinayak Towers, Moongipa Arcade, G-215, next to F wing Ganesh Chowk, D.N.Nagar, Andheri West, Mumbai, Maharashtra 400053 ",084465 69049 ,http://www.drshivanikdentalclinic.com/,4.9,199,Dental clinic,"https://www.google.com/maps/place/Dr.+Shivani%E2%80%99s+Dental+Clinic/@18.971044,72.5327927,11z/data=!4m10!1m2!2m1!1sDentists+in+Mumbai!3m6!1s0x3be7c9df112815d5:0x8d29006e983976ba!8m2!3d19.124346!4d72.8313613!15sChJEZW50aXN0cyBpbiBNdW1iYWlaFCISZGVudGlzdHMgaW4gbXVtYmFpkgENZGVudGFsX2NsaW5pY5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSNlozQmxOMUpCRUFF4AEA-gEFCJoBEEc!16s%2Fg%2F11f2pvzd8v?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Make Me Smile Dental Clinic,"Shop no 8, Queensland, B-25, Shastri Nagar Lane 2, near Bhaktivedanta Swami Mission School, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053 ",099873 07369 ,https://makemesmile.in/,5.0,680,Dental clinic,"https://www.google.com/maps/place/Make+Me+Smile+Dental+Clinic/@18.971044,72.5327927,11z/data=!4m10!1m2!2m1!1sDentists+in+Mumbai!3m6!1s0x3be7b7c1cea99173:0x5f0c978d1bf4510b!8m2!3d19.1386062!4d72.8286204!15sChJEZW50aXN0cyBpbiBNdW1iYWlaFCISZGVudGlzdHMgaW4gbXVtYmFpkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F11fsnk0vjg?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Sparkle Dental Care,"Milan Building, 189, Perin Nariman St, near Paras Guest House, Borabazar Precinct, Fort, Mumbai, Maharashtra 400001 ",098693 41311 ,,4.9,772,Dental clinic,"https://www.google.com/maps/place/Sparkle+Dental+Care/@18.971044,72.5327927,11z/data=!4m10!1m2!2m1!1sDentists+in+Mumbai!3m6!1s0x3be7d1dba3461aff:0x42ad45c8187da0c4!8m2!3d18.9355589!4d72.8358942!15sChJEZW50aXN0cyBpbiBNdW1iYWlaFCISZGVudGlzdHMgaW4gbXVtYmFpkgENZGVudGFsX2NsaW5pY-ABAA!16s%2Fg%2F1q62fb9qb?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
𝗦𝗺𝗶𝗹𝗲-𝗨-𝗗𝗲𝗻𝘁,"Shop No. 5, Smile-U-Dent, Sourabh CHSL, A-wing, Shahaji Raje Marg, below Nityanand Hospital, Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057 ",088284 00646 ,http://www.smileudent.com/,4.8,,Dental clinic,"https://www.google.com/maps/place/%F0%9D%97%A6%F0%9D%97%BA%F0%9D%97%B6%F0%9D%97%B9%F0%9D%97%B2-%F0%9D%97%A8-%F0%9D%97%97%F0%9D%97%B2%F0%9D%97%BB%F0%9D%98%81/@18.971044,72.5327927,11z/data=!4m10!1m2!2m1!1sDentists+in+Mumbai!3m6!1s0x3be7c926018380d1:0x8a498550f464a862!8m2!3d19.1074535!4d72.8483569!15sChJEZW50aXN0cyBpbiBNdW1iYWlaFCISZGVudGlzdHMgaW4gbXVtYmFpkgEHZGVudGlzdOABAA!16s%2Fg%2F11hdk_pffx?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
