name,address,phone,website,rating,reviews_count,category,google_maps_url
Medstar Multispecialty Clinic - We have best Doctor in Chandigarh,"Sco 3-4-5-6 New, adjacent gali no.1, near Government Senior Secondary School, Burail, Ekta Market, Burail Village, Sector 45, Chandigarh, 160047 ",095015 94424 ,https://click2cure.com/mohit-cardiologist-chandigarh/,5.0,59,Medical clinic,"https://www.google.com/maps/place/Medstar+Multispecialty+Clinic+-+We+have+best+Doctor+in+Chandigarh/@30.7373214,76.784464,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed5d92bcc3d3:0x1385efe219da37e8!8m2!3d30.7073131!4d76.7575621!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRMU5ITlBRWEpSUlJBQuABAPoBBAgAECU!16s%2Fg%2F11kjg66fw5?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Apollo Clinic,"SCO 10, 11, Madhya Marg, Sector 8C, Sector 8, Chandigarh, 160009 ",0172 418 4411 ,,4.2,1080,Medical clinic,"https://www.google.com/maps/place/Apollo+Clinic/@30.7073131,76.6854643,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed0d63fa7fff:0x4a2871d698c798f6!8m2!3d30.7404142!4d76.7925268!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY-ABAA!16s%2Fg%2F1tf7f1g0?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Healing Hospital in Chandigarh,"16-17-18-19-20-21-22, Piccadily Rd, Sub. City Center, Sector 34A, Sector 35, Chandigarh, 160022 ",0172 508 8883 ,https://healinghospital.co.in/,4.4,2538,Hospital,"https://www.google.com/maps/place/Healing+Hospital+in+Chandigarh/@30.7073131,76.6854643,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fedae06440b71:0x96f0b99e412a2f99!8m2!3d30.7246392!4d76.7688994!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQhob3NwaXRhbJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyeENjVTVJUm0xWFJURnpWRzFHVEdFd1VrSmpha0pRVTIxT1YwMVlZeEFC4AEA-gEECAAQOQ!16s%2Fg%2F1tdmhw5f?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
GEM Clinic | Best Doctors in Chandigarh,"229, Sector 15-A, Sector 15, Chandigarh, 160015 ",098780 70229 ,,4.9,43,Medical clinic,"https://www.google.com/maps/place/GEM+Clinic+%7C+Best+Doctors+in+Chandigarh/@30.7073131,76.6854643,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fedcd34deda83:0xf8a6ed68591cee1f!8m2!3d30.7548497!4d76.7732384!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNVdRazFWVG1wVk1FWlFVV3RrWmswd1ZUUlRhMHBDVW1wR2NrNVdSUkFC4AEA-gEECCoQPw!16s%2Fg%2F11yywhgdz2?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Rajnish Clinic - Family physician and General physician in Chandigarh,"SCO 79, Sector 40 Market Rd, Sector 40C, Sector 40B, Chandigarh, 160036 ",098785 22885 ,,4.6,460,Medical clinic,"https://www.google.com/maps/place/Rajnish+Clinic+-+Family+physician+and+General+physician+in+Chandigarh/@30.7073131,76.6854643,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390feddfa45fafed:0x4b670f7ac1ab2fa!8m2!3d30.7354883!4d76.7355282!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMTBTMU16VWxOaFZUZzFUVE5DTkZSRWFIVlZNRXA1VTBSb1RGZ3lZeEFC4AEA-gEECAAQMQ!16s%2Fg%2F11c7ztmvl4?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Chhuttani Medical Centre,"S.C.O 52 - 53 - 54, Bridge Market, 17C, Sector 17, Chandigarh, 160017 ",0172 270 2543 ,http://www.cmcchandigarh.in/,3.5,,Hospital,"https://www.google.com/maps/place/Chhuttani+Medical+Centre/@30.7073131,76.6854643,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed0baaaaaaab:0x61c61189e3a25028!8m2!3d30.7401874!4d76.7826268!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQhob3NwaXRhbJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMUdiVlV3TlU5Tk1taHBZVE5zZUZwWFVuRlVNMEkxVXpOQ1lXRlZSUkFC4AEA-gEECCEQJw!16s%2Fg%2F1tpf5jgg?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Pristyn Care,"1599, Sector 22B, Sector 22, Chandigarh, 160022 ",080 6510 5081 ,https://www.pristyncare.com/chandigarh/clinic/sector-22-53p6xvny2a/?utm_source=gmb&utm_medium=organic&utm_campaign=763409498828763583&utm_term=clinic&utm_content=website_link,4.4,463,Surgical center,"https://www.google.com/maps/place/Pristyn+Care/@30.7073131,76.6854643,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fed2ec7fec0a5:0x9a97ca2b69549474!8m2!3d30.7330859!4d76.7750718!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ9zdXJnaWNhbF9jZW50ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlNhSFF5WDFCUkVBReABAPoBBAgAEDk!16s%2Fg%2F11hf3659wd?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Global Healthcare Clinic,"2164, Sector 21 c, Chandigarh, Sector 21C, Chandigarh, 160022 ",0172 271 2164 ,http://www.globalhealthcareclinic.com/,4.8,323,Doctor,"https://www.google.com/maps/place/Global+Healthcare+Clinic/@30.7073131,76.6854643,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390fedabe9ad4913:0xadf16097fd64c575!8m2!3d30.7240246!4d76.7754223!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQZkb2N0b3KaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBPYzJJeFFucGtSRnB0Vmxaa1NsSnJWVEZPV0djeVdrUlNOVll6WXhBQuABAPoBBQiiAhA_!16s%2Fg%2F11cmcdsg_q?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
MEDPLUS CLINIC & SERVICES,"149, Khuda Jassu, Khudda Lahora, Chandigarh, Khudda Lahora, Chandigarh 160103 ",070870 86663 ,https://medplusclinicservices.com/,5.0,115,Medical clinic,"https://www.google.com/maps/place/MEDPLUS+CLINIC+%26+SERVICES/@30.7073131,76.6854643,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390ff3b8f282b6b9:0x5eb51d6ba2ae44cd!8m2!3d30.774312!4d76.7705879!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY-ABAA!16s%2Fg%2F11vlpvxynh?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
Ujwal medical center (Ujwal Clinic),"Shop no 37/1A, Gali No. 4, Shanti Nagar, Sector 13, Chandigarh, 160101 ",083602 05028 ,https://ujwalmedical.wordpress.com/,5.0,12,Medical clinic,"https://www.google.com/maps/place/Ujwal+medical+center+(Ujwal+Clinic)/@30.774312,76.6984901,13z/data=!4m10!1m2!2m1!1smedical+clinics++in+Chandigarh!3m6!1s0x390f936a2f0467ff:0xca7476fc9051e60a!8m2!3d30.7169421!4d76.8333997!15sCh5tZWRpY2FsIGNsaW5pY3MgIGluIENoYW5kaWdhcmhaHyIdbWVkaWNhbCBjbGluaWNzIGluIGNoYW5kaWdhcmiSAQ5tZWRpY2FsX2NsaW5pY-ABAA!16s%2Fg%2F11w7kn38pn?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D"
